job_title,similarity_score,location,job_url
Senior Front End Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=392b0c35de3e917c&vjs=3
Tester with .Net,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=2346cf2c72a7f1b4&vjs=3
Full Stack Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=32207412e621e21d&vjs=3
Principal Machine Learning Engineer - AI / ML,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
postedAt,0.0841354,"Bengaluru, Karnataka",urlInput
Software Development Lead,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
AI Data Architect,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Talent Coordinator - Night Shift (Contract),0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Senior Member Technical Staff,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Data Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Business Intelligence developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Oracle Cloud Database Performance Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Data Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
AI / ML Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Senior Member of Technical Staff,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=ad621607e56d55a3&vjs=3
AI Data EngineerAI Data Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
Senior Data Scientist,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=machine+learning&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=0548cc2eb07cd11a
